Du;Au;Nom de la course;Catégorie;Organisateur;Discipline;Département;lieu
20/08/23;20/08/23;PRIX DE LA VILLE D ARBENT;U17 hommes;E.C. ARBENT-MARCHON;Route;1;ARBENT
20/08/23;20/08/23;PRIX DE SAINT AMOUR;Elites hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;39 AINT AMOUR
19/08/23;19/08/23;PROLOGUE ACCESS AU CRITERIUM DE MONTROND LES BAINS;Access hommes;U.C. FOREZ 42;Route;42;MONTROND LES BAINS
19/08/23;19/08/23;PROLOGUE FEMININ AU CRITERIUM DE MONTROND LES BAINS;Elites femmes (régional) et +;U.C. FOREZ 42;Route;42;MONTROND LES BAINS
19/08/23;19/08/23;CRITERIUM DE MONTROND LES BAINS;Open1 hommes et +;U.C. FOREZ 42;Route;42;MONTROND LES BAINS
19/08/23;27/08/23;TOUR DE L AVENIR;UCI U23;ALPES VELO;Route;74;
18/08/23;18/08/23;GRAND PRIX PAYS SAINT POURCINOIS;Open1 hommes et +;U C VARENNES SAINT POURCAIN ;Route;3;SAINT-POURÇAIN SUR SIOULE
15/08/23;15/08/23;LE BOUQUETIN;Grimpée chronométrée;V.C. DU GRAND BORNAND;Route;74;LE GRAND BORNAND
15/08/23;15/08/23;PRIX DE CORMOZ;Elites hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;CORMOZ
15/08/23;15/08/23;PRIX DE CORMOZ;Access hommes;BOURG EN BRESSE AIN CYCLISME;Route;1;CORMOZ
13/08/23;13/08/23;L'ETAPE SANFLORAINE;Cyclosportive;V C PAYS DE SAINT-FLOUR ;Route;15;SAINT-FLOUR
13/08/23;13/08/23;CHALLENGE FÉMININ JUNIORS, ESPOIRS, SÉNIORS DE SAINT ROMAIN LE PUY;Elites femmes (régional) et +;SQUADRA SAINTE-ROMANAISE;Route;42;SAINT ROMAIN LE PUY
13/08/23;13/08/23;CHALLENGE FÉMININ CADETTES DE SAINT ROMAIN LE PUY;U17 femmes;SQUADRA SAINTE-ROMANAISE;Route;42;SAINT ROMAIN LE PUY
13/08/23;13/08/23;PRIX DE LA MUNICIPALITE;Open1 hommes et +;SPRINTER CLUB AURILLACOIS;Route;15;PLEAUX
12/08/23;12/08/23;MONTEE CHRISTIAN ROUFFIAC;Grimpée chronométrée;V C PAYS DE SAINT-FLOUR ;Route;15;SAINT-FLOUR
10/08/23;10/08/23;NOCTURNE DE LA VILLE ( 6 IÈME ÉPREUVE DE LA SEMAINE CANTALIENNE);Open1 hommes et +;VELO CLUB DE MAURIAC ;Route;15;MAURIAC
08/08/23;10/08/23;TOUR DE L AIN;UCI classe 1 et World Tour;COMITE ORGANISATION TOUR DE L AIN;Route;1;
08/08/23;08/08/23;4ÈME EPREUVE DE LA SEMAINE CANTALIENNE PRIX D'ESBAN;Open1 hommes et +;A C V AURILLACOIS ;Route;15;YTRAC
