Du;Au;Nom de la course;Catégorie;Organisateur;Discipline;Département;lieu
19/08/23;20/08/23;COUPE AUVERGNE-RHÔNE-ALPES ENDURO #4 MAD BIKE;Enduro;VTT VALMOREL ET VALLEES D'AIGUEBLANCHE DEVELOPPEMNT;VTT;73;VALMOREL
19/08/23;19/08/23;PROLOGUE ACCESS AU CRITERIUM DE MONTROND LES BAINS;Access hommes;U.C. FOREZ 42;Route;42;MONTROND LES BAINS
19/08/23;19/08/23;PROLOGUE FEMININ AU CRITERIUM DE MONTROND LES BAINS;Elite femmes (régional) et +;U.C. FOREZ 42;Route;42;MONTROND LES BAINS
19/08/23;19/08/23;CRITERIUM DE MONTROND LES BAINS;Open1 hommes et +;U.C. FOREZ 42;Route;42;MONTROND LES BAINS
19/08/23;27/08/23;TOUR DE L AVENIR;UCI U23;ALPES VELO;Route;74;
18/08/23;20/08/23;COUPE DE FRANCE VTT XCO/DHI/XCR #5;XC Toutes catégories;FFC Direction Activités Sportives;VTT;73;LES MENUIRES
18/08/23;18/08/23;GRAND PRIX PAYS SAINT POURCINOIS;Open1 hommes et +;U C VARENNES SAINT POURCAIN ;Route;3;SAINT-POURÇAIN SUR SIOULE
15/08/23;15/08/23;LE BOUQUETIN;Grimpée chronométrée;V.C. DU GRAND BORNAND;Route;74;LE GRAND BORNAND
15/08/23;15/08/23;PRIX DE CORMOZ;Elite hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;CORMOZ
15/08/23;15/08/23;PRIX DE CORMOZ;Access hommes;BOURG EN BRESSE AIN CYCLISME;Route;1;CORMOZ
13/08/23;13/08/23;L'ETAPE SANFLORAINE;Cyclosportive;V C PAYS DE SAINT-FLOUR ;Route;15;SAINT-FLOUR
13/08/23;13/08/23;CHALLENGE FÉMININ JUNIORS, ESPOIRS, SÉNIORS DE SAINT ROMAIN LE PUY;Elite femmes (régional) et +;SQUADRA SAINTE-ROMANAISE;Route;42;SAINT ROMAIN LE PUY
13/08/23;13/08/23;CHALLENGE FÉMININ CADETTES DE SAINT ROMAIN LE PUY;U17 femmes;SQUADRA SAINTE-ROMANAISE;Route;42;SAINT ROMAIN LE PUY
13/08/23;13/08/23;PRIX DE LA MUNICIPALITE;Open1 hommes et +;SPRINTER CLUB AURILLACOIS;Route;15;PLEAUX
12/08/23;12/08/23;8ème EPREUVE SEMAINE CANTALIENNE ;Open1 hommes et +;V.C. MAURSOIS;Route;15;ST MAMET
12/08/23;12/08/23;5ème EPREUVE SEMAINE CANTALIENNE ;U17 hommes;V.C. MAURSOIS;Route;15;ST MAMET
12/08/23;12/08/23;MONTEE CHRISTIAN ROUFFIAC;Grimpée chronométrée;V C PAYS DE SAINT-FLOUR ;Route;15;SAINT-FLOUR
11/08/23;11/08/23;7ème EPREUVE SEMAINE CANTALIENNE;Open1 hommes et +;V.C. MAURSOIS;Route;15;MAURS
11/08/23;11/08/23;4ème EPREUVE SEMAINE CANTALIENNE;U17 hommes;V.C. MAURSOIS;Route;15;MAURS
11/08/23;13/08/23;COUPE DE FRANCE VTT SKF DHI;DH Toutes catégories;FFC Direction Activités Sportives;VTT;74;CHATEL
10/08/23;10/08/23;NOCTURNE DE LA VILLE ( 6 IÈME ÉPREUVE DE LA SEMAINE CANTALIENNE);Open1 hommes et +;VELO CLUB DE MAURIAC ;Route;15;MAURIAC
09/08/23;09/08/23;5ème EPREUVE SEMAINE CANTALIENNE - MARCOLES;Open1 hommes et +;V.C. MAURSOIS;Route;15;MARCOLES
09/08/23;09/08/23;3ème EPREUVE SEMAINE CANTALIENNE - MARCOLES;U17 hommes;V.C. MAURSOIS;Route;15;MARCOLES
09/08/23;09/08/23;PROLOGUE DU CRITERIUM PROFESSIONNEL DE MARCOLES;U15 hommes;V.C. MAURSOIS;Route;15;MARCOLES
09/08/23;09/08/23;PROLOGUE DU CRITERIUM PROFESSIONNEL DE MARCOLES;Ecole de route;V.C. MAURSOIS;Route;15;MARCOLES
09/08/23;09/08/23;CRITERIUM PROFESSIONNEL DE MARCOLES EN CHATAIGNERIAE;UCI classe 1 et World Tour;V.C. MAURSOIS;Route;15;MARCOLES
08/08/23;08/08/23;4ÈME EPREUVE DE LA SEMAINE CANTALIENNE PRIX D'ESBAN;Open1 hommes et +;A C V AURILLACOIS ;Route;15;YTRAC
07/08/23;07/08/23;75E PRIX DE SAINT GERMAIN L'HERM;Open3 hommes et +;VELO CLUB AMBERTOIS ;Route;63;SAINT GERMAIN L'HERM
07/08/23;07/08/23;SEMAINE CANTALIENNE #3;Open1 hommes et +;V C PAYS DE SAINT-FLOUR ;Route;15;RUYNES-EN-MARGERIDE
07/08/23;07/08/23;SEMAINE CANTALIENNE DES JEUNES #2;U17 hommes;V C PAYS DE SAINT-FLOUR ;Route;15;
07/08/23;07/08/23;GP DE MONTMARAULT;Open1 hommes et +;CLASSIC JEAN PATRICK DUBUISSON ORGANISATIONS ;Route;3;MONTMARAULT
06/08/23;06/08/23;TROPHEE DES GRIMPEURS MONTEE DE PEYRA TAILLADE;Grimpée chronométrée;VELO SPORT BRIVADOIS ;Route;43;PRADES
06/08/23;06/08/23;33ÈME PRIX DE THAIRY;U17 hommes;V.C. ST JULIEN EN GENEVOIS;Route;74;THAIRY
06/08/23;06/08/23;33ÈME PRIX DE THAIRY;U15+U17 femmes;V.C. ST JULIEN EN GENEVOIS;Route;74;THAIRY
06/08/23;06/08/23;GRAND PRIX DE LONGES;Elite hommes (régional) et +;UNION CYCLISTE PÉLUSSIN;Route;69;LONGES
06/08/23;06/08/23;SOUVENIR PIERRE CHANY;Elite hommes (régional) et +;UNION CYCLISTE LE PUY EN VELAY ;Route;43;LANGEAC
06/08/23;06/08/23;SOUVENIR PIERRE CHANY;U17 hommes;UNION CYCLISTE LE PUY EN VELAY ;Route;43;LANGEAC
